H_um,p_inlet_Pa,Nx,Ny,dt,n_passos,nm_membrana,np_rede,w_centro_max_m,w_centro_final_m,w_max_m,p_outlet_max_Pa,p_outlet_final_Pa,q_outlet_max_abs_m3s,q_outlet_final_m3s,volume_final_m3,potencia_max_abs_W,potencia_final_W,tempo_execucao_s
1000,20000.0,101,101,0.025,481,10201,224,0.00023598374169429533,0.00015801772038558857,0.00023598374169429533,22824.16900604562,19997.139869048646,4.462143463554011e-05,2.0899568150459366e-08,1.5690590154272063e-09,0.8924286927108022,0.0004179913630091873,26.631806643000346
1000,20000.0,101,101,0.05,241,10201,224,0.0002265509400420214,0.00015802317134440796,0.0002265509400420214,22340.34526793446,19998.553031737763,4.333811771506071e-05,1.0573296248977634e-08,1.5687458161853385e-09,0.8667623543012143,0.00021146592497955268,14.497600098000476
1250,5000.0,51,51,0.00625,1921,2601,224,7.335183634782113e-05,4.055030375469623e-05,7.335183634782113e-05,5607.440005623466,4998.976127211006,1.3759974325506485e-05,1.826574740435247e-08,4.1025713737720427e-10,0.06879987162753243,9.132873702176235e-05,18.49771565300034
1250,5000.0,51,51,0.0125,961,2601,224,7.216875526600342e-05,4.065808919437338e-05,7.216875526600342e-05,5574.212835475752,4999.816452111965,1.3648334027259042e-05,3.2744686534940686e-09,4.072216393019174e-10,0.06824167013629522,1.637234326747034e-05,9.6066373929998
1250,5000.0,51,51,0.025,481,2601,224,7.012745756026096e-05,4.046030288390481e-05,7.012745756026096e-05,5520.6331938560925,4999.05794486976,1.3428389919100354e-05,1.6806131812491596e-08,4.0376265240422803e-10,0.06714194959550177,8.403065906245798e-05,5.031950403000337
1250,5000.0,51,51,0.05,241,2601,224,6.68185443201369e-05,4.0085218273162836e-05,6.68185443201369e-05,5439.920119005729,4998.137282544241,1.300173339983963e-05,3.323061898605976e-08,4.003376473386428e-10,0.06500866699919815,0.0001661530949302988,2.782616237000184
1250,5000.0,101,101,0.00625,1921,10201,224,7.278607230593688e-05,4.023383623476503e-05,7.278607230593688e-05,5604.424037657142,5004.990886573614,1.3633324755387236e-05,-8.903671874360402e-08,4.0464724165172785e-10,0.06816662377693618,-0.0004451835937180201,100.0466728020001
1250,5000.0,101,101,0.0125,961,10201,224,7.166105651791866e-05,4.0354557244681016e-05,7.166105651791866e-05,5570.8945536349265,5003.227140979392,1.3522211382123138e-05,-5.7571743922029544e-08,4.015790388414747e-10,0.0676110569106157,-0.0002878587196101477,51.344746378999844
1250,5000.0,101,101,0.025,481,10201,224,6.966222003832115e-05,4.0173034024766975e-05,6.966222003832115e-05,5517.495762999058,5000.836161453765,1.3303323362145147e-05,-1.4917003446202436e-08,3.9813440801256576e-10,0.06651661681072574,-7.458501723101218e-05,26.755558197000028
1250,5000.0,101,101,0.05,241,10201,224,6.639052288560628e-05,3.980236527136193e-05,6.639052288560628e-05,5437.242276827286,4998.882014156566,1.2878751095883876e-05,1.9944711141777888e-08,3.947228325367628e-10,0.06439375547941938,9.972355570888943e-05,14.503215354000531
